id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm88001,"The Stranger",MOVIE,"A man working for the War Crimes Commission suspects that an important Nazi official has folded himself into a quaint Connecticut town.",1946,,95,"['thriller', 'crime', 'drama']",['US'],,tt0038991,7.3,26293,7.566,7.3
tm112415,"Tell Your Children",MOVIE,"High-school principal Dr. Alfred Carroll relates to an audience of parents that marijuana can have devastating effects on teens: a drug supplier entices several restless teens, Mary and Jimmy Lane, sister and brother, and Bill, Mary's boyfriend, into frequenting a reefer house. Gradually, Bill and Jimmy are drawn into smoking dope, which affects their family lives.",1938,PG,66,"['drama', 'crime']",['US'],,tt0028346,3.7,8617,5.412,4.1
tm2838,"The Most Dangerous Game",MOVIE,"When legendary hunter Bob Rainsford is shipwrecked on the perilous reefs surrounding a mysterious island, he finds himself the guest of the reclusive and eccentric Count Zaroff. While he is very gracious at first, Zaroff eventually forces Rainsford and two other shipwreck survivors, brother and sister Eve and Martin Towbridge, to participate in a sadistic game of cat and mouse in which they are the prey and he is the hunter.",1932,,63,"['thriller', 'horror', 'action']",['US'],,tt0023238,7.1,12203,8.828,7
tm155610,"Wuthering Heights",MOVIE,"The Earnshaws are Yorkshire farmers during the early 19th Century. One day, Mr. Earnshaw returns from a trip to the city, bringing with him a ragged little boy called Heathcliff. Earnshaw's son, Hindley, resents the child, but Heathcliff becomes companion and soulmate to Hindley's sister, Catherine. After her parents die, Cathy and Heathcliff grow up wild and free on the moors and despite the continued enmity between Hindley and Heathcliff they're happy -- until Cathy meets Edgar Linton, the son of a wealthy neighbor.",1939,,104,"['drama', 'romance']",['US'],,tt0032145,7.5,17956,12.336,7.3
tm3781,"The Woman in the Window",MOVIE,"A seductive woman gets an innocent professor mixed up in murder.",1944,,99,"['drama', 'thriller', 'crime']",['US'],,tt0037469,7.6,15909,6.018,7.5
tm3541,"Steamboat Bill, Jr.",MOVIE,"The just out of college effete son of a no-nonsense steamboat captain comes to visit his father whom he's not seen since he was little.",1928,,70,"['drama', 'romance', 'family', 'action', 'comedy']",['US'],,tt0019421,7.8,14499,7.754,7.7
tm82560,"The Little Foxes",MOVIE,"The ruthless, moneyed Hubbard clan lives in, and poisons, their part of the deep South at the turn of the 20th century. Regina Giddons n̩e Hubbard has her daughter under her thumb. Mrs. Giddons is estranged from her husband, who is convalescing in Baltimore and suffers from a terminal illness. But she needs him home, and will manipulate her daughter to help bring him back. She has a sneaky business deal that she's cooking up with her two elder brothers, Oscar and Ben. Oscar has a flighty, unhappy wife and a dishonest worm of a son. Will the daughter have to marry this contemptible cousin? Who will she grow up to be - her mother or her aunt? Or can she escape the fate of both?",1941,,115,"['romance', 'drama']",['US'],,tt0033836,7.9,11775,5.906,7.5
tm64852,"Stella Dallas",MOVIE,"After divorcing a society man, a small-town woman tries to build a better life for their daughter.",1937,,106,"['drama', 'romance']",['US'],,tt0029608,7.4,5440,5.377,6.9
tm120863,Dodsworth,MOVIE,"A retired auto manufacturer and his wife take a long-planned European vacation only to find that they want very different things from life.",1936,,101,"['romance', 'drama']",['US'],,tt0027532,7.8,9063,6.1,7.2
tm66903,"Sands of Iwo Jima",MOVIE,"The relationship between Sergeant Stryker and a group of rebellious recruits is made difficult by the Sergeant's tough training tactics. At Tarawa, the leathernecks have a chance to see Stryker in action, and begin to appreciate him.",1950,,100,"['drama', 'war', 'action', 'romance']",['US'],,tt0041841,7,10399,7.629,6.5
tm74259,"The Pride of the Yankees",MOVIE,"The story of the life and career of the baseball hall of famer, Lou Gehrig.",1942,,128,"['drama', 'romance', 'sport']",['US'],,tt0035211,7.6,10866,6.602,7.4
tm112424,"Things to Come",MOVIE,"The story of a century: a decades-long second World War leaves plague and anarchy, then a rational state rebuilds civilization and attempts space travel.",1936,,89,"['scifi', 'drama', 'war']",['GB'],,tt0028358,6.6,7965,11.526,6.5
tm58979,"Cyrano de Bergerac",MOVIE,"France, 1640: Cyrano, the charismatic swordsman-poet with the absurd nose, hopelessly loves the beauteous Roxane; she, in turn, confesses to Cyrano her love for the handsome but tongue-tied Christian. The chivalrous Cyrano sets up with Christian an innocent deception, with tragic results.",1950,,112,"['drama', 'romance']",['US'],,tt0042367,7.4,4085,5.626,7.1
tm18385,"Scarlet Street",MOVIE,"Cashier and part-time starving artist Christopher Cross is absolutely smitten with the beautiful Kitty March. Kitty plays along, but she's really only interested in Johnny, a two-bit crook. When Kitty and Johnny find out that art dealers are interested in Chris's work, they con him into letting Kitty take credit for the paintings. Cross allows it because he is in love with Kitty, but his love will only let her get away with so much.",1945,,103,"['thriller', 'drama']",['US'],,tt0038057,7.8,16405,8.003,7.7
tm162994,"Made for Each Other",MOVIE,"A couple struggle to find happiness after a whirlwind courtship.",1939,,92,"['comedy', 'drama', 'romance']",['US'],,tt0031602,6.3,3582,6.242,6.1
tm2721,"The Thief of Bagdad",MOVIE,"A recalcitrant thief vies with a duplicitous Mongol ruler for the hand of a beautiful princess.",1924,,149,"['romance', 'family', 'fantasy']",['US'],,tt0015400,7.7,6134,7.166,7.4
